FORSPENT,PORNFEST
GAROTTED,DOGTREAT
ARCHDUKE,HAREDUCK
STICKFUL,FUCKLIST
SHELDUCK,SHUCKLED
SHOEPACK,CAKESHOP
PREMUNE,PERMUNE
BECLOAKS,SOCKABLE
CALYCULI,CALICULY
EARLOCKS,CLOAKERS
GRUDGER,DRUGGER
NOISOME,MOONIES
SLOPWORK,SLOWPORK
REBUTTER,BUTTERER
LUBBERLY,BELLYRUB
FURBALLS,SURFBALL
SHOPWORN,PORNSHOW
FORNENT,ENFRONT
REFRONTS,FRONTERS
BUTTHEAD,HEADBUTT
